id,name,translation,desc,yield,is_live,updated_at,imperial,metric
14,grate - large,,"Ingredients are shredded into small, thin fragments using a grater. Often applied to vegetables (e.g., carrots), fruits (e.g., apples), or even firm meats for specific recipes.",0.950,true,2025-04-04 11:09:52.674,Grated Large,Grated Large
15,grate - medium,,"Ingredients are shredded into small, thin fragments using a grater. Often applied to vegetables (e.g., carrots), fruits (e.g., apples), or even firm meats for specific recipes.",0.950,true,2025-04-04 11:09:52.674,Grated Medium,Grated Medium
16,grate - fine,,"Ingredients are shredded into small, thin fragments using a grater. Often applied to vegetables (e.g., carrots), fruits (e.g., apples), or even firm meats for specific recipes.",0.920,true,2025-04-04 11:09:52.674,Grated Fine,Grated Fine
17,fresh,,"The ingredient is used in its raw, unprocessed, and freshly harvested or sourced state, without cooking, drying, or freezing. Applies to vegetables, fruits, or meats.",0.950,true,2025-04-04 11:09:52.674,Used in its raw unprocessed state,Used in its raw unprocessed state
18,whole,,"The ingredient is left intact, uncut, and unprocessed beyond basic cleaning or peeling (e.g., a whole carrot, apple, or chicken breast).",0.950,true,2025-04-04 11:09:52.674,Ingredient left whole and intact,Ingredient left whole and intact
19,brunoise,,"A precise, very small dice, typically 1-3 mm cubes, achieved by first cutting into julienne strips and then dicing. Commonly used for vegetables (e.g., carrots, onions) or fruits for garnishes.",0.950,true,2025-04-04 11:09:52.674,0.04-0.12 in x 0.04-0.12 in x 0.04-0.12 in,1-3 mm x 1-3 mm x 1-3 mm
20,chiffonade,,"Thin, ribbon-like strips created by stacking and rolling leafy vegetables (e.g., basil, spinach) or herbs, then slicing finely across. Not typically used for meats or solid fruits.",0.950,true,2025-04-04 11:09:52.674,0.04-0.08 in wide strips,1-2 mm wide strips
21,chop,,"Ingredients are roughly cut into irregular, bite-sized pieces without strict uniformity. Applies to vegetables, meats, or fruits for rustic preparations.",0.950,true,2025-04-04 11:09:52.674,"Varies, typically 0.4-1.2 in","Varies, typically 1-3 cm"
22,chopped fine,,"Ingredients are roughly cut into irregular, bite-sized pieces without strict uniformity. Applies to vegetables, meats, or fruits for rustic preparations.",0.950,true,2025-04-04 11:09:52.674,Varies 0.04-0.12 in,Varies 1-3 mm
23,chopped rough,,"Ingredients are roughly cut into irregular, bite-sized pieces without strict uniformity. Applies to vegetables, meats, or fruits for rustic preparations.",0.950,true,2025-04-04 11:09:52.674,"Varies, typically 0.4-1.2 in","Varies, typically 1-3 cm"
24,cube,,"Ingredients are cut into uniform, three-dimensional squares, typically larger than a dice (e.g., 1-2 cm or more). Used for vegetables, meats, or firm fruits.",0.950,true,2025-04-04 11:09:52.674,0.4-0.8 in x 0.4-0.8 in x 0.4-0.8 in,10-20 mm x 10-20 mm x 10-20 mm
25,dice,,"Ingredients are cut into small, uniform cubes, typically smaller than a standard cube (e.g., 0.5-1 cm). Common for vegetables, meats, or fruits in precise recipes.",0.950,true,2025-04-04 11:09:52.674,0.2-0.4 in x 0.2-0.4 in x 0.2-0.4 in,5-10 mm x 5-10 mm x 5-10 mm
26,julienne/french-cut,,"Ingredients are cut into long, thin matchstick-like strips, typically 1-2 mm thick and 4-5 cm long. Often used for vegetables (e.g., carrots) or firm fruits; less common for meats.",0.950,true,2025-04-04 11:09:52.674,0.04-0.08 in x 0.04-0.08 in x 1.6-2 in,1-2 mm x 1-2 mm x 40-50 mm
27,mince,,"Ingredients are finely chopped into very small pieces, smaller than a chop (e.g., 1-2 mm). Common for vegetables (e.g., garlic), meats, or fruits for pastes or fillings.",0.950,true,2025-04-04 11:09:52.674,0.04-0.08 in,1-2 mm
28,slice,,"Ingredients are cut into thin, flat pieces of varying thickness. Applies to vegetables (e.g., tomatoes), meats (e.g., steak), or fruits (e.g., apples).",0.950,true,2025-04-04 11:09:52.674,0.08-0.2 in thick,2-5 mm thick
29,rondelle,,"Ingredients are cut into round, coin-shaped slices, typically from cylindrical vegetables (e.g., carrots, zucchini) or fruits. Not commonly used for meats.",0.950,true,2025-04-04 11:09:52.674,0.08-0.2 in thick,2-5 mm thick
30,diagonal,,"Ingredients are sliced at an angle to create elongated, oval-shaped pieces. Often used for vegetables (e.g., carrots) or meats for presentation.",0.950,true,2025-04-04 11:09:52.674,0.08-0.2 in thick (angled),2-5 mm thick (angled)
31,batonnet,,"Ingredients are cut into thick, stick-like pieces, typically 6 mm x 6 mm x 5-6 cm long. Common for vegetables (e.g., potatoes for fries) or firm fruits; less common for meats.",0.950,true,2025-04-04 11:09:52.674,0.25 in x 0.25 in x 2-2.4 in,6 mm x 6 mm x 50-60 mm
32,jardiniere,,"Ingredients are cut into baton-like shapes, slightly smaller than batonnet (e.g., 4 mm x 4 mm x 2-3 cm). Used for vegetables in classic French cooking.",0.950,true,2025-04-04 11:09:52.674,0.16 in x 0.16 in x 0.8-1.2 in,4 mm x 4 mm x 20-30 mm
33,macedoine,,"Ingredients are diced into small, uniform cubes, typically 5 mm on each side. Used for vegetables or fruits in mixed dishes or salads.",0.950,true,2025-04-04 11:09:52.674,0.2 in x 0.2 in x 0.2 in,5 mm x 5 mm x 5 mm
34,other,,"Any processing or cutting method not explicitly listed, specific to the recipe or preparation context.",0.700,true,2025-04-04 11:09:52.674,Other,Other
